Trial,S1_val,S1_std,S2_val,S2_std
1,-4.0,0.1,0.0,8.0
2,-4.0,0.1,0.0,8.0
3,-4.0,0.1,0.0,8.0
4,-4.0,0.1,0.0,8.0
5,-4.0,0.1,0.0,8.0
6,-4.0,0.1,0.0,8.0
7,-4.0,0.1,0.0,8.0
8,-4.0,0.1,0.0,8.0
9,-4.0,0.1,0.0,8.0
10,-4.0,0.1,0.0,8.0
11,-4.0,0.1,0.0,8.0
12,-4.0,0.1,0.0,8.0
13,-4.0,0.1,0.0,8.0
14,-4.0,0.1,0.0,8.0
15,-4.0,0.1,0.0,8.0
16,-4.0,0.1,0.0,8.0
17,-4.0,0.1,0.0,8.0
18,-4.0,0.1,0.0,8.0
19,-4.0,0.1,0.0,8.0
20,-4.0,0.1,0.0,8.0
21,-4.0,0.1,0.0,8.0
22,-4.0,0.1,0.0,8.0
23,-4.0,0.1,0.0,8.0
24,-4.0,0.1,0.0,8.0
25,-4.0,0.1,0.0,8.0
26,-4.0,0.1,0.0,8.0
27,-4.0,0.1,0.0,8.0
28,-4.0,0.1,0.0,8.0
29,-4.0,0.1,0.0,8.0
30,-4.0,0.1,0.0,8.0
31,-4.0,0.1,0.0,8.0
32,-4.0,0.1,0.0,8.0
33,-4.0,0.1,0.0,8.0
34,-4.0,0.1,0.0,8.0
35,-4.0,0.1,0.0,8.0
36,-4.0,0.1,0.0,8.0
37,-4.0,0.1,0.0,8.0
38,-4.0,0.1,0.0,8.0
39,-4.0,0.1,0.0,8.0
40,-4.0,0.1,0.0,8.0
41,-4.0,0.1,0.0,8.0
42,-4.0,0.1,0.0,8.0
43,-4.0,0.1,0.0,8.0
44,-4.0,0.1,0.0,8.0
45,-4.0,0.1,0.0,8.0
46,-4.0,0.1,0.0,8.0
47,-4.0,0.1,0.0,8.0
48,-4.0,0.1,0.0,8.0
49,-4.0,0.1,0.0,8.0
50,-4.0,0.1,0.0,8.0
51,-3.9,0.1,0.0,8.0
52,-3.9,0.1,0.0,8.0
53,-3.9,0.1,0.0,8.0
54,-3.9,0.1,0.0,8.0
55,-3.9,0.1,0.0,8.0
56,-3.9,0.1,0.0,8.0
57,-3.9,0.1,0.0,8.0
58,-3.9,0.1,0.0,8.0
59,-3.9,0.1,0.0,8.0
60,-3.9,0.1,0.0,8.0
61,-3.9,0.1,0.0,8.0
62,-3.9,0.1,0.0,8.0
63,-3.9,0.1,0.0,8.0
64,-3.9,0.1,0.0,8.0
65,-3.9,0.1,0.0,8.0
66,-3.9,0.1,0.0,8.0
67,-3.9,0.1,0.0,8.0
68,-3.9,0.1,0.0,8.0
69,-3.9,0.1,0.0,8.0
70,-3.9,0.1,0.0,8.0
71,-3.9,0.1,0.0,8.0
72,-3.9,0.1,0.0,8.0
73,-3.9,0.1,0.0,8.0
74,-3.9,0.1,0.0,8.0
75,-3.9,0.1,0.0,8.0
76,-3.9,0.1,0.0,8.0
77,-3.9,0.1,0.0,8.0
78,-3.9,0.1,0.0,8.0
79,-3.9,0.1,0.0,8.0
80,-3.9,0.1,0.0,8.0
81,-3.9,0.1,0.0,8.0
82,-3.9,0.1,0.0,8.0
83,-3.9,0.1,0.0,8.0
84,-3.9,0.1,0.0,8.0
85,-3.9,0.1,0.0,8.0
86,-3.9,0.1,0.0,8.0
87,-3.9,0.1,0.0,8.0
88,-3.9,0.1,0.0,8.0
89,-3.9,0.1,0.0,8.0
90,-3.9,0.1,0.0,8.0
91,-3.9,0.1,0.0,8.0
92,-3.9,0.1,0.0,8.0
93,-3.9,0.1,0.0,8.0
94,-3.9,0.1,0.0,8.0
95,-3.9,0.1,0.0,8.0
96,-3.9,0.1,0.0,8.0
97,-3.9,0.1,0.0,8.0
98,-3.9,0.1,0.0,8.0
99,-3.9,0.1,0.0,8.0
100,-3.9,0.1,0.0,8.0
101,-3.8,0.1,0.0,8.0
102,-3.8,0.1,0.0,8.0
103,-3.8,0.1,0.0,8.0
104,-3.8,0.1,0.0,8.0
105,-3.8,0.1,0.0,8.0
106,-3.8,0.1,0.0,8.0
107,-3.8,0.1,0.0,8.0
108,-3.8,0.1,0.0,8.0
109,-3.8,0.1,0.0,8.0
110,-3.8,0.1,0.0,8.0
111,-3.8,0.1,0.0,8.0
112,-3.8,0.1,0.0,8.0
113,-3.8,0.1,0.0,8.0
114,-3.8,0.1,0.0,8.0
115,-3.8,0.1,0.0,8.0
116,-3.8,0.1,0.0,8.0
117,-3.8,0.1,0.0,8.0
118,-3.8,0.1,0.0,8.0
119,-3.8,0.1,0.0,8.0
120,-3.8,0.1,0.0,8.0
121,-3.8,0.1,0.0,8.0
122,-3.8,0.1,0.0,8.0
123,-3.8,0.1,0.0,8.0
124,-3.8,0.1,0.0,8.0
125,-3.8,0.1,0.0,8.0
126,-3.8,0.1,0.0,8.0
127,-3.8,0.1,0.0,8.0
128,-3.8,0.1,0.0,8.0
129,-3.8,0.1,0.0,8.0
130,-3.8,0.1,0.0,8.0
131,-3.8,0.1,0.0,8.0
132,-3.8,0.1,0.0,8.0
133,-3.8,0.1,0.0,8.0
134,-3.8,0.1,0.0,8.0
135,-3.8,0.1,0.0,8.0
136,-3.8,0.1,0.0,8.0
137,-3.8,0.1,0.0,8.0
138,-3.8,0.1,0.0,8.0
139,-3.8,0.1,0.0,8.0
140,-3.8,0.1,0.0,8.0
141,-3.8,0.1,0.0,8.0
142,-3.8,0.1,0.0,8.0
143,-3.8,0.1,0.0,8.0
144,-3.8,0.1,0.0,8.0
145,-3.8,0.1,0.0,8.0
146,-3.8,0.1,0.0,8.0
147,-3.8,0.1,0.0,8.0
148,-3.8,0.1,0.0,8.0
149,-3.8,0.1,0.0,8.0
150,-3.8,0.1,0.0,8.0
151,-3.6999999999999997,0.1,0.0,8.0
152,-3.6999999999999997,0.1,0.0,8.0
153,-3.6999999999999997,0.1,0.0,8.0
154,-3.6999999999999997,0.1,0.0,8.0
155,-3.6999999999999997,0.1,0.0,8.0
156,-3.6999999999999997,0.1,0.0,8.0
157,-3.6999999999999997,0.1,0.0,8.0
158,-3.6999999999999997,0.1,0.0,8.0
159,-3.6999999999999997,0.1,0.0,8.0
160,-3.6999999999999997,0.1,0.0,8.0
161,-3.6999999999999997,0.1,0.0,8.0
162,-3.6999999999999997,0.1,0.0,8.0
163,-3.6999999999999997,0.1,0.0,8.0
164,-3.6999999999999997,0.1,0.0,8.0
165,-3.6999999999999997,0.1,0.0,8.0
166,-3.6999999999999997,0.1,0.0,8.0
167,-3.6999999999999997,0.1,0.0,8.0
168,-3.6999999999999997,0.1,0.0,8.0
169,-3.6999999999999997,0.1,0.0,8.0
170,-3.6999999999999997,0.1,0.0,8.0
171,-3.6999999999999997,0.1,0.0,8.0
172,-3.6999999999999997,0.1,0.0,8.0
173,-3.6999999999999997,0.1,0.0,8.0
174,-3.6999999999999997,0.1,0.0,8.0
175,-3.6999999999999997,0.1,0.0,8.0
176,-3.6999999999999997,0.1,0.0,8.0
177,-3.6999999999999997,0.1,0.0,8.0
178,-3.6999999999999997,0.1,0.0,8.0
179,-3.6999999999999997,0.1,0.0,8.0
180,-3.6999999999999997,0.1,0.0,8.0
181,-3.6999999999999997,0.1,0.0,8.0
182,-3.6999999999999997,0.1,0.0,8.0
183,-3.6999999999999997,0.1,0.0,8.0
184,-3.6999999999999997,0.1,0.0,8.0
185,-3.6999999999999997,0.1,0.0,8.0
186,-3.6999999999999997,0.1,0.0,8.0
187,-3.6999999999999997,0.1,0.0,8.0
188,-3.6999999999999997,0.1,0.0,8.0
189,-3.6999999999999997,0.1,0.0,8.0
190,-3.6999999999999997,0.1,0.0,8.0
191,-3.6999999999999997,0.1,0.0,8.0
192,-3.6999999999999997,0.1,0.0,8.0
193,-3.6999999999999997,0.1,0.0,8.0
194,-3.6999999999999997,0.1,0.0,8.0
195,-3.6999999999999997,0.1,0.0,8.0
196,-3.6999999999999997,0.1,0.0,8.0
197,-3.6999999999999997,0.1,0.0,8.0
198,-3.6999999999999997,0.1,0.0,8.0
199,-3.6999999999999997,0.1,0.0,8.0
200,-3.6999999999999997,0.1,0.0,8.0
201,-3.5999999999999996,0.1,0.0,8.0
202,-3.5999999999999996,0.1,0.0,8.0
203,-3.5999999999999996,0.1,0.0,8.0
204,-3.5999999999999996,0.1,0.0,8.0
205,-3.5999999999999996,0.1,0.0,8.0
206,-3.5999999999999996,0.1,0.0,8.0
207,-3.5999999999999996,0.1,0.0,8.0
208,-3.5999999999999996,0.1,0.0,8.0
209,-3.5999999999999996,0.1,0.0,8.0
210,-3.5999999999999996,0.1,0.0,8.0
211,-3.5999999999999996,0.1,0.0,8.0
212,-3.5999999999999996,0.1,0.0,8.0
213,-3.5999999999999996,0.1,0.0,8.0
214,-3.5999999999999996,0.1,0.0,8.0
215,-3.5999999999999996,0.1,0.0,8.0
216,-3.5999999999999996,0.1,0.0,8.0
217,-3.5999999999999996,0.1,0.0,8.0
218,-3.5999999999999996,0.1,0.0,8.0
219,-3.5999999999999996,0.1,0.0,8.0
220,-3.5999999999999996,0.1,0.0,8.0
221,-3.5999999999999996,0.1,0.0,8.0
222,-3.5999999999999996,0.1,0.0,8.0
223,-3.5999999999999996,0.1,0.0,8.0
224,-3.5999999999999996,0.1,0.0,8.0
225,-3.5999999999999996,0.1,0.0,8.0
226,-3.5999999999999996,0.1,0.0,8.0
227,-3.5999999999999996,0.1,0.0,8.0
228,-3.5999999999999996,0.1,0.0,8.0
229,-3.5999999999999996,0.1,0.0,8.0
230,-3.5999999999999996,0.1,0.0,8.0
231,-3.5999999999999996,0.1,0.0,8.0
232,-3.5999999999999996,0.1,0.0,8.0
233,-3.5999999999999996,0.1,0.0,8.0
234,-3.5999999999999996,0.1,0.0,8.0
235,-3.5999999999999996,0.1,0.0,8.0
236,-3.5999999999999996,0.1,0.0,8.0
237,-3.5999999999999996,0.1,0.0,8.0
238,-3.5999999999999996,0.1,0.0,8.0
239,-3.5999999999999996,0.1,0.0,8.0
240,-3.5999999999999996,0.1,0.0,8.0
241,-3.5999999999999996,0.1,0.0,8.0
242,-3.5999999999999996,0.1,0.0,8.0
243,-3.5999999999999996,0.1,0.0,8.0
244,-3.5999999999999996,0.1,0.0,8.0
245,-3.5999999999999996,0.1,0.0,8.0
246,-3.5999999999999996,0.1,0.0,8.0
247,-3.5999999999999996,0.1,0.0,8.0
248,-3.5999999999999996,0.1,0.0,8.0
249,-3.5999999999999996,0.1,0.0,8.0
250,-3.5999999999999996,0.1,0.0,8.0
251,-3.4999999999999996,0.1,0.0,8.0
252,-3.4999999999999996,0.1,0.0,8.0
253,-3.4999999999999996,0.1,0.0,8.0
254,-3.4999999999999996,0.1,0.0,8.0
255,-3.4999999999999996,0.1,0.0,8.0
256,-3.4999999999999996,0.1,0.0,8.0
257,-3.4999999999999996,0.1,0.0,8.0
258,-3.4999999999999996,0.1,0.0,8.0
259,-3.4999999999999996,0.1,0.0,8.0
260,-3.4999999999999996,0.1,0.0,8.0
261,-3.4999999999999996,0.1,0.0,8.0
262,-3.4999999999999996,0.1,0.0,8.0
263,-3.4999999999999996,0.1,0.0,8.0
264,-3.4999999999999996,0.1,0.0,8.0
265,-3.4999999999999996,0.1,0.0,8.0
266,-3.4999999999999996,0.1,0.0,8.0
267,-3.4999999999999996,0.1,0.0,8.0
268,-3.4999999999999996,0.1,0.0,8.0
269,-3.4999999999999996,0.1,0.0,8.0
270,-3.4999999999999996,0.1,0.0,8.0
271,-3.4999999999999996,0.1,0.0,8.0
272,-3.4999999999999996,0.1,0.0,8.0
273,-3.4999999999999996,0.1,0.0,8.0
274,-3.4999999999999996,0.1,0.0,8.0
275,-3.4999999999999996,0.1,0.0,8.0
276,-3.4999999999999996,0.1,0.0,8.0
277,-3.4999999999999996,0.1,0.0,8.0
278,-3.4999999999999996,0.1,0.0,8.0
279,-3.4999999999999996,0.1,0.0,8.0
280,-3.4999999999999996,0.1,0.0,8.0
281,-3.4999999999999996,0.1,0.0,8.0
282,-3.4999999999999996,0.1,0.0,8.0
283,-3.4999999999999996,0.1,0.0,8.0
284,-3.4999999999999996,0.1,0.0,8.0
285,-3.4999999999999996,0.1,0.0,8.0
286,-3.4999999999999996,0.1,0.0,8.0
287,-3.4999999999999996,0.1,0.0,8.0
288,-3.4999999999999996,0.1,0.0,8.0
289,-3.4999999999999996,0.1,0.0,8.0
290,-3.4999999999999996,0.1,0.0,8.0
291,-3.4999999999999996,0.1,0.0,8.0
292,-3.4999999999999996,0.1,0.0,8.0
293,-3.4999999999999996,0.1,0.0,8.0
294,-3.4999999999999996,0.1,0.0,8.0
295,-3.4999999999999996,0.1,0.0,8.0
296,-3.4999999999999996,0.1,0.0,8.0
297,-3.4999999999999996,0.1,0.0,8.0
298,-3.4999999999999996,0.1,0.0,8.0
299,-3.4999999999999996,0.1,0.0,8.0
300,-3.4999999999999996,0.1,0.0,8.0
301,-3.3999999999999995,0.1,0.0,8.0
302,-3.3999999999999995,0.1,0.0,8.0
303,-3.3999999999999995,0.1,0.0,8.0
304,-3.3999999999999995,0.1,0.0,8.0
305,-3.3999999999999995,0.1,0.0,8.0
306,-3.3999999999999995,0.1,0.0,8.0
307,-3.3999999999999995,0.1,0.0,8.0
308,-3.3999999999999995,0.1,0.0,8.0
309,-3.3999999999999995,0.1,0.0,8.0
310,-3.3999999999999995,0.1,0.0,8.0
311,-3.3999999999999995,0.1,0.0,8.0
312,-3.3999999999999995,0.1,0.0,8.0
313,-3.3999999999999995,0.1,0.0,8.0
314,-3.3999999999999995,0.1,0.0,8.0
315,-3.3999999999999995,0.1,0.0,8.0
316,-3.3999999999999995,0.1,0.0,8.0
317,-3.3999999999999995,0.1,0.0,8.0
318,-3.3999999999999995,0.1,0.0,8.0
319,-3.3999999999999995,0.1,0.0,8.0
320,-3.3999999999999995,0.1,0.0,8.0
321,-3.3999999999999995,0.1,0.0,8.0
322,-3.3999999999999995,0.1,0.0,8.0
323,-3.3999999999999995,0.1,0.0,8.0
324,-3.3999999999999995,0.1,0.0,8.0
325,-3.3999999999999995,0.1,0.0,8.0
326,-3.3999999999999995,0.1,0.0,8.0
327,-3.3999999999999995,0.1,0.0,8.0
328,-3.3999999999999995,0.1,0.0,8.0
329,-3.3999999999999995,0.1,0.0,8.0
330,-3.3999999999999995,0.1,0.0,8.0
331,-3.3999999999999995,0.1,0.0,8.0
332,-3.3999999999999995,0.1,0.0,8.0
333,-3.3999999999999995,0.1,0.0,8.0
334,-3.3999999999999995,0.1,0.0,8.0
335,-3.3999999999999995,0.1,0.0,8.0
336,-3.3999999999999995,0.1,0.0,8.0
337,-3.3999999999999995,0.1,0.0,8.0
338,-3.3999999999999995,0.1,0.0,8.0
339,-3.3999999999999995,0.1,0.0,8.0
340,-3.3999999999999995,0.1,0.0,8.0
341,-3.3999999999999995,0.1,0.0,8.0
342,-3.3999999999999995,0.1,0.0,8.0
343,-3.3999999999999995,0.1,0.0,8.0
344,-3.3999999999999995,0.1,0.0,8.0
345,-3.3999999999999995,0.1,0.0,8.0
346,-3.3999999999999995,0.1,0.0,8.0
347,-3.3999999999999995,0.1,0.0,8.0
348,-3.3999999999999995,0.1,0.0,8.0
349,-3.3999999999999995,0.1,0.0,8.0
350,-3.3999999999999995,0.1,0.0,8.0
351,-3.2999999999999994,0.1,0.0,8.0
352,-3.2999999999999994,0.1,0.0,8.0
353,-3.2999999999999994,0.1,0.0,8.0
354,-3.2999999999999994,0.1,0.0,8.0
355,-3.2999999999999994,0.1,0.0,8.0
356,-3.2999999999999994,0.1,0.0,8.0
357,-3.2999999999999994,0.1,0.0,8.0
358,-3.2999999999999994,0.1,0.0,8.0
359,-3.2999999999999994,0.1,0.0,8.0
360,-3.2999999999999994,0.1,0.0,8.0
361,-3.2999999999999994,0.1,0.0,8.0
362,-3.2999999999999994,0.1,0.0,8.0
363,-3.2999999999999994,0.1,0.0,8.0
364,-3.2999999999999994,0.1,0.0,8.0
365,-3.2999999999999994,0.1,0.0,8.0
366,-3.2999999999999994,0.1,0.0,8.0
367,-3.2999999999999994,0.1,0.0,8.0
368,-3.2999999999999994,0.1,0.0,8.0
369,-3.2999999999999994,0.1,0.0,8.0
370,-3.2999999999999994,0.1,0.0,8.0
371,-3.2999999999999994,0.1,0.0,8.0
372,-3.2999999999999994,0.1,0.0,8.0
373,-3.2999999999999994,0.1,0.0,8.0
374,-3.2999999999999994,0.1,0.0,8.0
375,-3.2999999999999994,0.1,0.0,8.0
376,-3.2999999999999994,0.1,0.0,8.0
377,-3.2999999999999994,0.1,0.0,8.0
378,-3.2999999999999994,0.1,0.0,8.0
379,-3.2999999999999994,0.1,0.0,8.0
380,-3.2999999999999994,0.1,0.0,8.0
381,-3.2999999999999994,0.1,0.0,8.0
382,-3.2999999999999994,0.1,0.0,8.0
383,-3.2999999999999994,0.1,0.0,8.0
384,-3.2999999999999994,0.1,0.0,8.0
385,-3.2999999999999994,0.1,0.0,8.0
386,-3.2999999999999994,0.1,0.0,8.0
387,-3.2999999999999994,0.1,0.0,8.0
388,-3.2999999999999994,0.1,0.0,8.0
389,-3.2999999999999994,0.1,0.0,8.0
390,-3.2999999999999994,0.1,0.0,8.0
391,-3.2999999999999994,0.1,0.0,8.0
392,-3.2999999999999994,0.1,0.0,8.0
393,-3.2999999999999994,0.1,0.0,8.0
394,-3.2999999999999994,0.1,0.0,8.0
395,-3.2999999999999994,0.1,0.0,8.0
396,-3.2999999999999994,0.1,0.0,8.0
397,-3.2999999999999994,0.1,0.0,8.0
398,-3.2999999999999994,0.1,0.0,8.0
399,-3.2999999999999994,0.1,0.0,8.0
400,-3.2999999999999994,0.1,0.0,8.0
401,-3.1999999999999993,0.1,0.0,8.0
402,-3.1999999999999993,0.1,0.0,8.0
403,-3.1999999999999993,0.1,0.0,8.0
404,-3.1999999999999993,0.1,0.0,8.0
405,-3.1999999999999993,0.1,0.0,8.0
406,-3.1999999999999993,0.1,0.0,8.0
407,-3.1999999999999993,0.1,0.0,8.0
408,-3.1999999999999993,0.1,0.0,8.0
409,-3.1999999999999993,0.1,0.0,8.0
410,-3.1999999999999993,0.1,0.0,8.0
411,-3.1999999999999993,0.1,0.0,8.0
412,-3.1999999999999993,0.1,0.0,8.0
413,-3.1999999999999993,0.1,0.0,8.0
414,-3.1999999999999993,0.1,0.0,8.0
415,-3.1999999999999993,0.1,0.0,8.0
416,-3.1999999999999993,0.1,0.0,8.0
417,-3.1999999999999993,0.1,0.0,8.0
418,-3.1999999999999993,0.1,0.0,8.0
419,-3.1999999999999993,0.1,0.0,8.0
420,-3.1999999999999993,0.1,0.0,8.0
421,-3.1999999999999993,0.1,0.0,8.0
422,-3.1999999999999993,0.1,0.0,8.0
423,-3.1999999999999993,0.1,0.0,8.0
424,-3.1999999999999993,0.1,0.0,8.0
425,-3.1999999999999993,0.1,0.0,8.0
426,-3.1999999999999993,0.1,0.0,8.0
427,-3.1999999999999993,0.1,0.0,8.0
