S1_std,S2_std,S2_val,S1_val,P_choose1,N_trials
0.1,8,0,-4.0,0.0064,2500
0.1,8,0,-3.9,0.0064,2500
0.1,8,0,-3.8,0.0104,2500
0.1,8,0,-3.7,0.0108,2500
0.1,8,0,-3.5999999999999996,0.014,2500
0.1,8,0,-3.4999999999999996,0.02,2500
0.1,8,0,-3.3999999999999995,0.0212,2500
0.1,8,0,-3.2999999999999994,0.026,2500
0.1,8,0,-3.1999999999999993,0.03,2500
0.1,8,0,-3.099999999999999,0.0276,2500
0.1,8,0,-2.999999999999999,0.0452,2500
0.1,8,0,-2.899999999999999,0.0536,2500
0.1,8,0,-2.799999999999999,0.0636,2500
0.1,8,0,-2.699999999999999,0.0796,2500
0.1,8,0,-2.5999999999999988,0.0804,2500
0.1,8,0,-2.4999999999999987,0.1044,2500
0.1,8,0,-2.3999999999999986,0.1092,2500
0.1,8,0,-2.2999999999999985,0.1264,2500
0.1,8,0,-2.1999999999999984,0.1452,2500
0.1,8,0,-2.0999999999999983,0.1672,2500
0.1,8,0,-1.9999999999999984,0.17,2500
0.1,8,0,-1.899999999999998,0.1972,2500
0.1,8,0,-1.799999999999998,0.2004,2500
0.1,8,0,-1.699999999999998,0.264,2500
0.1,8,0,-1.599999999999998,0.2824,2500
0.1,8,0,-1.4999999999999978,0.2908,2500
0.1,8,0,-1.3999999999999977,0.318,2500
0.1,8,0,-1.2999999999999976,0.3524,2500
0.1,8,0,-1.1999999999999975,0.3872,2500
0.1,8,0,-1.0999999999999974,0.412,2500
0.1,8,0,-0.9999999999999972,0.4524,2500
0.1,8,0,-0.8999999999999972,0.4772,2500
0.1,8,0,-0.7999999999999972,0.4952,2500
0.1,8,0,-0.6999999999999971,0.5392,2500
0.1,8,0,-0.599999999999997,0.5548,2500
0.1,8,0,-0.4999999999999969,0.5932,2500
0.1,8,0,-0.3999999999999968,0.6256,2500
0.1,8,0,-0.2999999999999967,0.662,2500
0.1,8,0,-0.1999999999999966,0.6968,2500
0.1,8,0,-0.0999999999999965,0.7084,2500
0.1,8,0,3.552713678800501e-15,0.736,2500
0.1,8,0,0.1000000000000036,0.75,2500
0.1,8,0,0.2000000000000037,0.7784,2500
0.1,8,0,0.3000000000000038,0.8108,2500
0.1,8,0,0.4000000000000039,0.8284,2500
0.1,8,0,0.500000000000004,0.8532,2500
0.1,8,0,0.6000000000000041,0.8688,2500
0.1,8,0,0.7000000000000042,0.8832,2500
0.1,8,0,0.8000000000000043,0.8968,2500
0.1,8,0,0.9000000000000044,0.9228,2500
0.1,8,0,1.0000000000000044,0.9228,2500
0.1,8,0,1.1000000000000043,0.9352,2500
0.1,8,0,1.2000000000000046,0.9464,2500
0.1,8,0,1.3000000000000047,0.9516,2500
0.1,8,0,1.4000000000000048,0.9568,2500
0.1,8,0,1.5000000000000049,0.9636,2500
0.1,8,0,1.600000000000005,0.9724,2500
0.1,8,0,1.700000000000005,0.9808,2500
0.1,8,0,1.8000000000000052,0.9812,2500
0.1,8,0,1.9000000000000052,0.9828,2500
0.1,8,0,2.0000000000000053,0.986,2500
0.1,8,0,2.1000000000000054,0.992,2500
0.1,8,0,2.2000000000000055,0.9888,2500
0.1,8,0,2.3000000000000056,0.9932,2500
0.1,8,0,2.4000000000000057,0.9932,2500
0.1,8,0,2.5000000000000058,0.9964,2500
0.1,8,0,2.600000000000006,0.9956,2500
0.1,8,0,2.700000000000006,0.9956,2500
0.1,8,0,2.800000000000006,0.998,2500
0.1,8,0,2.900000000000006,0.9984,2500
0.1,8,0,3.000000000000006,0.9976,2500
0.1,8,0,3.1000000000000063,0.9988,2500
0.1,8,0,3.2000000000000064,0.9992,2500
0.1,8,0,3.3000000000000065,0.9992,2500
0.1,8,0,3.4000000000000066,0.9996,2500
0.1,8,0,3.5000000000000067,0.9992,2500
0.1,8,0,3.6000000000000068,1.0,2500
0.1,8,0,3.700000000000007,0.9992,2500
0.1,8,0,3.800000000000007,0.9992,2500
0.1,8,0,3.900000000000007,1.0,2500
0.1,8,0,4.000000000000007,1.0,2500
0.2,8,0,-4.0,0.0088,2500
0.2,8,0,-3.9,0.0064,2500
0.2,8,0,-3.8,0.01,2500
0.2,8,0,-3.7,0.016,2500
0.2,8,0,-3.5999999999999996,0.0184,2500
0.2,8,0,-3.4999999999999996,0.0256,2500
0.2,8,0,-3.3999999999999995,0.0272,2500
0.2,8,0,-3.2999999999999994,0.0272,2500
0.2,8,0,-3.1999999999999993,0.032,2500
0.2,8,0,-3.099999999999999,0.0388,2500
0.2,8,0,-2.999999999999999,0.0436,2500
0.2,8,0,-2.899999999999999,0.0572,2500
0.2,8,0,-2.799999999999999,0.06,2500
0.2,8,0,-2.699999999999999,0.0776,2500
0.2,8,0,-2.5999999999999988,0.0908,2500
0.2,8,0,-2.4999999999999987,0.1028,2500
0.2,8,0,-2.3999999999999986,0.1284,2500
0.2,8,0,-2.2999999999999985,0.1388,2500
0.2,8,0,-2.1999999999999984,0.1652,2500
0.2,8,0,-2.0999999999999983,0.1696,2500
0.2,8,0,-1.9999999999999984,0.1792,2500
0.2,8,0,-1.899999999999998,0.1992,2500
0.2,8,0,-1.799999999999998,0.2284,2500
0.2,8,0,-1.699999999999998,0.258,2500
0.2,8,0,-1.599999999999998,0.266,2500
0.2,8,0,-1.4999999999999978,0.2992,2500
0.2,8,0,-1.3999999999999977,0.3344,2500
0.2,8,0,-1.2999999999999976,0.3452,2500
0.2,8,0,-1.1999999999999975,0.394,2500
0.2,8,0,-1.0999999999999974,0.4272,2500
0.2,8,0,-0.9999999999999972,0.4444,2500
0.2,8,0,-0.8999999999999972,0.4468,2500
0.2,8,0,-0.7999999999999972,0.4936,2500
0.2,8,0,-0.6999999999999971,0.5324,2500
0.2,8,0,-0.599999999999997,0.5544,2500
0.2,8,0,-0.4999999999999969,0.5932,2500
0.2,8,0,-0.3999999999999968,0.6356,2500
0.2,8,0,-0.2999999999999967,0.6604,2500
0.2,8,0,-0.1999999999999966,0.6832,2500
0.2,8,0,-0.0999999999999965,0.7084,2500
0.2,8,0,3.552713678800501e-15,0.722,2500
0.2,8,0,0.1000000000000036,0.7728,2500
0.2,8,0,0.2000000000000037,0.7912,2500
0.2,8,0,0.3000000000000038,0.8104,2500
0.2,8,0,0.4000000000000039,0.8196,2500
0.2,8,0,0.500000000000004,0.8364,2500
0.2,8,0,0.6000000000000041,0.8564,2500
0.2,8,0,0.7000000000000042,0.88,2500
0.2,8,0,0.8000000000000043,0.8856,2500
0.2,8,0,0.9000000000000044,0.9068,2500
0.2,8,0,1.0000000000000044,0.9204,2500
0.2,8,0,1.1000000000000043,0.9264,2500
0.2,8,0,1.2000000000000046,0.9308,2500
0.2,8,0,1.3000000000000047,0.9472,2500
0.2,8,0,1.4000000000000048,0.9568,2500
0.2,8,0,1.5000000000000049,0.9548,2500
0.2,8,0,1.600000000000005,0.9684,2500
0.2,8,0,1.700000000000005,0.9744,2500
0.2,8,0,1.8000000000000052,0.976,2500
0.2,8,0,1.9000000000000052,0.9788,2500
0.2,8,0,2.0000000000000053,0.986,2500
0.2,8,0,2.1000000000000054,0.9888,2500
0.2,8,0,2.2000000000000055,0.9892,2500
0.2,8,0,2.3000000000000056,0.9916,2500
0.2,8,0,2.4000000000000057,0.9904,2500
0.2,8,0,2.5000000000000058,0.988,2500
0.2,8,0,2.600000000000006,0.9972,2500
0.2,8,0,2.700000000000006,0.9968,2500
0.2,8,0,2.800000000000006,0.9956,2500
0.2,8,0,2.900000000000006,0.9968,2500
0.2,8,0,3.000000000000006,0.9976,2500
0.2,8,0,3.1000000000000063,0.9976,2500
0.2,8,0,3.2000000000000064,0.9992,2500
0.2,8,0,3.3000000000000065,0.9996,2500
0.2,8,0,3.4000000000000066,0.9996,2500
0.2,8,0,3.5000000000000067,0.9996,2500
0.2,8,0,3.6000000000000068,0.9992,2500
0.2,8,0,3.700000000000007,0.9996,2500
0.2,8,0,3.800000000000007,0.9992,2500
0.2,8,0,3.900000000000007,1.0,2500
0.2,8,0,4.000000000000007,0.9996,2500
0.3,8,0,-4.0,0.0108,2500
0.3,8,0,-3.9,0.0132,2500
0.3,8,0,-3.8,0.016,2500
0.3,8,0,-3.7,0.0188,2500
0.3,8,0,-3.5999999999999996,0.0228,2500
0.3,8,0,-3.4999999999999996,0.0276,2500
0.3,8,0,-3.3999999999999995,0.0436,2500
0.3,8,0,-3.2999999999999994,0.0344,2500
0.3,8,0,-3.1999999999999993,0.0416,2500
0.3,8,0,-3.099999999999999,0.048,2500
0.3,8,0,-2.999999999999999,0.0604,2500
0.3,8,0,-2.899999999999999,0.0656,2500
0.3,8,0,-2.799999999999999,0.0768,2500
0.3,8,0,-2.699999999999999,0.0864,2500
0.3,8,0,-2.5999999999999988,0.0988,2500
0.3,8,0,-2.4999999999999987,0.1116,2500
0.3,8,0,-2.3999999999999986,0.128,2500
0.3,8,0,-2.2999999999999985,0.1356,2500
0.3,8,0,-2.1999999999999984,0.1504,2500
0.3,8,0,-2.0999999999999983,0.1808,2500
0.3,8,0,-1.9999999999999984,0.198,2500
0.3,8,0,-1.899999999999998,0.2252,2500
0.3,8,0,-1.799999999999998,0.2348,2500
0.3,8,0,-1.699999999999998,0.2616,2500
0.3,8,0,-1.599999999999998,0.2884,2500
0.3,8,0,-1.4999999999999978,0.3068,2500
0.3,8,0,-1.3999999999999977,0.3356,2500
0.3,8,0,-1.2999999999999976,0.3572,2500
0.3,8,0,-1.1999999999999975,0.3808,2500
0.3,8,0,-1.0999999999999974,0.4132,2500
0.3,8,0,-0.9999999999999972,0.4584,2500
0.3,8,0,-0.8999999999999972,0.456,2500
0.3,8,0,-0.7999999999999972,0.4956,2500
0.3,8,0,-0.6999999999999971,0.5568,2500
0.3,8,0,-0.599999999999997,0.5672,2500
0.3,8,0,-0.4999999999999969,0.578,2500
0.3,8,0,-0.3999999999999968,0.6076,2500
0.3,8,0,-0.2999999999999967,0.6548,2500
0.3,8,0,-0.1999999999999966,0.6676,2500
0.3,8,0,-0.0999999999999965,0.6856,2500
0.3,8,0,3.552713678800501e-15,0.7276,2500
0.3,8,0,0.1000000000000036,0.7304,2500
0.3,8,0,0.2000000000000037,0.7704,2500
0.3,8,0,0.3000000000000038,0.7856,2500
0.3,8,0,0.4000000000000039,0.8088,2500
0.3,8,0,0.500000000000004,0.8352,2500
0.3,8,0,0.6000000000000041,0.842,2500
0.3,8,0,0.7000000000000042,0.854,2500
0.3,8,0,0.8000000000000043,0.8832,2500
0.3,8,0,0.9000000000000044,0.8912,2500
0.3,8,0,1.0000000000000044,0.908,2500
0.3,8,0,1.1000000000000043,0.9244,2500
0.3,8,0,1.2000000000000046,0.9268,2500
0.3,8,0,1.3000000000000047,0.934,2500
