Trial,S1_val,S1_std,S2_val,S2_std
1,1.4338999999999995,0.2,-0.8161,0.05
2,-4.8161000000000005,0.2,-0.8161,0.05
3,-1.8161000000000005,0.2,-0.8161,0.05
4,-0.3161000000000005,0.2,-0.8161,0.05
5,-3.5661000000000005,0.2,-0.8161,0.05
6,-1.0661000000000005,0.2,-0.8161,0.05
7,-4.3161000000000005,0.2,-0.8161,0.05
8,-0.8161000000000005,0.2,-0.8161,0.05
9,0.4338999999999995,0.2,-0.8161,0.05
10,-0.3161000000000005,0.2,-0.8161,0.05
11,-0.5661000000000005,0.2,-0.8161,0.05
12,2.9338999999999995,0.2,-0.8161,0.05
13,-0.5661000000000005,0.2,-0.8161,0.05
14,-0.5661000000000005,0.2,-0.8161,0.05
15,-1.0661000000000005,0.2,-0.8161,0.05
16,2.6838999999999995,0.2,-0.8161,0.05
17,1.6838999999999995,0.2,-0.8161,0.05
18,-0.8161000000000005,0.2,-0.8161,0.05
19,-3.3161000000000005,0.2,-0.8161,0.05
20,-0.3161000000000005,0.2,-0.8161,0.05
21,-1.5661000000000005,0.2,-0.8161,0.05
22,-3.5661000000000005,0.2,-0.8161,0.05
23,-1.0661000000000005,0.2,-0.8161,0.05
24,3.1838999999999995,0.2,-0.8161,0.05
25,0.4338999999999995,0.2,-0.8161,0.05
26,2.6838999999999995,0.2,-0.8161,0.05
27,-3.5661000000000005,0.2,-0.8161,0.05
28,0.6838999999999995,0.2,-0.8161,0.05
29,-3.0661000000000005,0.2,-0.8161,0.05
30,1.6838999999999995,0.2,-0.8161,0.05
31,-3.5661000000000005,0.2,-0.8161,0.05
32,1.9338999999999995,0.2,-0.8161,0.05
33,-0.5661000000000005,0.2,-0.8161,0.05
34,1.4338999999999995,0.2,-0.8161,0.05
35,1.9338999999999995,0.2,-0.8161,0.05
36,-4.8161000000000005,0.2,-0.8161,0.05
37,1.1838999999999995,0.2,-0.8161,0.05
38,-1.5661000000000005,0.2,-0.8161,0.05
39,-2.8161000000000005,0.2,-0.8161,0.05
40,1.4338999999999995,0.2,-0.8161,0.05
41,0.6838999999999995,0.2,-0.8161,0.05
42,-1.8161000000000005,0.2,-0.8161,0.05
43,1.1838999999999995,0.2,-0.8161,0.05
44,-3.0661000000000005,0.2,-0.8161,0.05
45,2.6838999999999995,0.2,-0.8161,0.05
46,-2.0661000000000005,0.2,-0.8161,0.05
47,2.1838999999999995,0.2,-0.8161,0.05
48,-0.3161000000000005,0.2,-0.8161,0.05
49,3.1838999999999995,0.2,-0.8161,0.05
50,3.1838999999999995,0.2,-0.8161,0.05
51,2.4338999999999995,0.2,-0.8161,0.05
52,-3.5661000000000005,0.2,-0.8161,0.05
53,1.9338999999999995,0.2,-0.8161,0.05
