Trial,S1_val,S1_std,S2_val,S2_std
1,0.6839,0.4,-0.8161,0.4
2,1.6839,0.4,-0.8161,0.4
3,-2.0661,0.4,-0.8161,0.4
4,-2.3161,0.4,-0.8161,0.4
5,-2.0661,0.4,-0.8161,0.4
6,-0.31610000000000005,0.4,-0.8161,0.4
7,0.43389999999999995,0.4,-0.8161,0.4
8,-0.8161,0.4,-0.8161,0.4
9,1.4339,0.4,-0.8161,0.4
10,-2.8161,0.4,-0.8161,0.4
11,-0.31610000000000005,0.4,-0.8161,0.4
12,1.9339,0.4,-0.8161,0.4
13,-1.0661,0.4,-0.8161,0.4
14,1.9339,0.4,-0.8161,0.4
15,-3.5661,0.4,-0.8161,0.4
16,1.4339,0.4,-0.8161,0.4
17,2.1839,0.4,-0.8161,0.4
18,-1.3161,0.4,-0.8161,0.4
19,-2.0661,0.4,-0.8161,0.4
20,-3.8161,0.4,-0.8161,0.4
21,0.9339,0.4,-0.8161,0.4
22,0.6839,0.4,-0.8161,0.4
23,0.9339,0.4,-0.8161,0.4
24,1.1839,0.4,-0.8161,0.4
25,1.9339,0.4,-0.8161,0.4
26,-2.0661,0.4,-0.8161,0.4
27,2.1839,0.4,-0.8161,0.4
28,2.1839,0.4,-0.8161,0.4
29,1.1839,0.4,-0.8161,0.4
30,1.4339,0.4,-0.8161,0.4
31,0.6839,0.4,-0.8161,0.4
32,-1.3161,0.4,-0.8161,0.4
33,1.4339,0.4,-0.8161,0.4
34,0.43389999999999995,0.4,-0.8161,0.4
35,-3.0661,0.4,-0.8161,0.4
36,-2.5661,0.4,-0.8161,0.4
37,-2.0661,0.4,-0.8161,0.4
38,-2.0661,0.4,-0.8161,0.4
39,0.6839,0.4,-0.8161,0.4
40,-3.5661,0.4,-0.8161,0.4
41,1.9339,0.4,-0.8161,0.4
42,-2.0661,0.4,-0.8161,0.4
43,1.6839,0.4,-0.8161,0.4
44,-0.31610000000000005,0.4,-0.8161,0.4
45,0.6839,0.4,-0.8161,0.4
46,-2.5661,0.4,-0.8161,0.4
47,-2.3161,0.4,-0.8161,0.4
48,-2.5661,0.4,-0.8161,0.4
49,-0.8161,0.4,-0.8161,0.4
50,0.18389999999999995,0.4,-0.8161,0.4
51,-1.3161,0.4,-0.8161,0.4
52,-1.5661,0.4,-0.8161,0.4
53,0.9339,0.4,-0.8161,0.4
54,1.4339,0.4,-0.8161,0.4
55,-1.5661,0.4,-0.8161,0.4
56,-1.0661,0.4,-0.8161,0.4
57,-3.8161,0.4,-0.8161,0.4
58,-1.8161,0.4,-0.8161,0.4
59,-2.5661,0.4,-0.8161,0.4
60,-0.06610000000000005,0.4,-0.8161,0.4
61,-1.3161,0.4,-0.8161,0.4
62,-1.5661,0.4,-0.8161,0.4
63,-1.8161,0.4,-0.8161,0.4
64,-3.5661,0.4,-0.8161,0.4
65,-0.5661,0.4,-0.8161,0.4
66,-1.8161,0.4,-0.8161,0.4
67,-2.5661,0.4,-0.8161,0.4
68,0.6839,0.4,-0.8161,0.4
69,1.1839,0.4,-0.8161,0.4
70,-3.0661,0.4,-0.8161,0.4
71,-2.5661,0.4,-0.8161,0.4
72,-0.31610000000000005,0.4,-0.8161,0.4
73,-0.5661,0.4,-0.8161,0.4
74,-2.8161,0.4,-0.8161,0.4
75,-1.0661,0.4,-0.8161,0.4
76,1.6839,0.4,-0.8161,0.4
77,-1.3161,0.4,-0.8161,0.4
78,-1.8161,0.4,-0.8161,0.4
79,-2.0661,0.4,-0.8161,0.4
80,-0.06610000000000005,0.4,-0.8161,0.4
81,0.43389999999999995,0.4,-0.8161,0.4
82,-3.8161,0.4,-0.8161,0.4
83,-2.8161,0.4,-0.8161,0.4
84,-0.5661,0.4,-0.8161,0.4
85,-0.5661,0.4,-0.8161,0.4
86,-3.5661,0.4,-0.8161,0.4
87,-1.3161,0.4,-0.8161,0.4
88,-0.06610000000000005,0.4,-0.8161,0.4
89,-0.8161,0.4,-0.8161,0.4
90,-0.06610000000000005,0.4,-0.8161,0.4
91,0.6839,0.4,-0.8161,0.4
92,-2.8161,0.4,-0.8161,0.4
93,-2.8161,0.4,-0.8161,0.4
94,1.9339,0.4,-0.8161,0.4
95,0.43389999999999995,0.4,-0.8161,0.4
96,-2.0661,0.4,-0.8161,0.4
